,ABC News,CBS News,NBC News,NPR,Rush Limbaugh Show (radio),Sean Hannity Show (radio),Washington Post,The New York Times,HuffPost,Breitbart,BBC,Time,Univision,Vice,Daily Caller,Fox News,MSNBC,CNN,PBS,The Wall Street Journal,USA Today,Politico,BuzzFeed,Newsweek,Business Insider,Vox,The Hill,Washington Examiner,New York Post,The Guardian,Opinion of Trump,Party,Social Media Usage,Weights,Age/Sex Category
45,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,2,0,0,0,2,2,2,2,0.6,Republican,Often,92.0,8.0
46,1,1,1,1,2,2,2,2,2,2,2,1,0,0,0,2,1,2,1,2,1,2,2,1,0,0,0,0,0,0,-0.9,Democrat,999,244.0,8.0
47,1,1,1,0,2,0,2,2,0,0,0,2,0,0,0,1,1,2,2,0,2,0,0,0,0,0,0,0,2,0,-0.8,Independent,Hardly Ever,134.0,6.0
48,1,2,2,1,2,2,1,1,1,2,1,1,2,0,2,2,1,0,1,2,1,1,2,1,2,1,2,2,0,2,-1.0,Democrat,Often,150.0,6.0
49,1,2,2,0,0,0,2,2,0,0,2,2,0,0,0,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,-1.0,Democrat,Never,147.0,8.0
50,1,1,2,2,0,2,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,-0.4,Republican,Hardly Ever,77.0,6.0
51,2,2,2,1,2,2,2,2,2,1,1,2,0,0,0,1,2,2,1,2,2,2,2,2,2,0,2,0,2,2,0.98,Republican,Never,306.0,5.0
52,2,2,2,1,2,2,1,1,1,2,1,2,2,0,0,2,2,1,1,2,2,2,2,2,0,0,0,2,0,2,-1.0,Democrat,Never,82.0,4.0
53,1,1,1,2,0,0,2,2,2,0,2,2,0,0,0,2,1,2,2,2,2,0,0,2,0,0,2,0,2,2,0.0,Republican,Hardly Ever,190.0,6.0
54,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,0,2,1,1,1,1,0.82,Republican,Hardly Ever,204.0,6.0
55,2,2,2,2,1,1,2,2,2,1,2,2,0,0,0,1,2,2,2,2,2,2,0,2,0,0,0,0,2,0,0.8,Republican,Hardly Ever,172.0,8.0
56,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,Democrat,Hardly Ever,149.0,8.0
57,2,2,1,0,2,0,0,0,0,0,2,2,0,0,0,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,-0.96,Democrat,999,713.0,6.0
58,2,2,1,0,2,0,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,0,0,2,0,0,0,0,2,0,0.7,Republican,Never,203.0,4.0
59,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,-1.0,Independent,Hardly Ever,84.0,8.0
60,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0,0,2,0,2,0,0.8,Independent,Sometimes,121.0,5.0
61,2,2,2,2,1,1,2,2,2,1,2,2,2,0,2,1,2,2,2,1,2,2,2,2,0,0,1,1,1,2,0.98,Republican,Never,144.0,7.0
62,2,2,1,2,2,2,2,2,2,2,1,2,0,0,0,1,2,2,2,2,1,2,2,2,0,0,2,2,2,0,0.2,Independent,Sometimes,123.0,8.0
63,2,2,2,2,0,0,0,2,2,0,0,2,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,2,0,-0.5,Republican,Hardly Ever,357.0,4.0
64,1,1,1,1,2,2,2,1,1,2,1,1,2,2,0,2,1,1,1,1,2,1,2,1,2,0,1,2,2,1,-1.0,Independent,Never,71.0,7.0
65,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,2,2,0,0,2,0,2,0,1.0,Republican,Sometimes,67.0,5.0
66,2,2,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,1,1,0,2,0,2,2,0,0,0,0,0,-0.84,Democrat,Hardly Ever,90.0,8.0
67,1,1,1,2,2,2,2,2,2,0,2,2,2,0,0,1,1,1,2,1,2,2,2,2,2,0,0,0,2,2,-1.0,Democrat,999,237.0,6.0
68,1,1,2,1,2,2,2,1,2,2,2,1,2,0,0,2,1,1,1,2,2,1,2,2,0,0,2,0,1,2,-1.0,Democrat,Sometimes,72.0,7.0
69,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,Independent,Never,418.0,8.0
70,2,1,1,0,2,0,2,2,0,0,2,2,0,0,0,1,1,2,2,2,2,2,0,2,2,0,0,2,2,2,0.6,Republican,Sometimes,418.0,6.0
71,2,1,2,0,1,2,2,2,0,2,2,2,2,0,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1.0,Independent,Never,127.0,6.0
72,1,1,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,1,2,2,2,0,2,2,2,0,0,0,2,0,-0.8,Democrat,Hardly Ever,66.0,6.0
73,2,2,2,1,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,1,2,-1.0,Democrat,Hardly Ever,45.0,6.0
74,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,2,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0.0,Independent,Often,99.0,6.0
75,1,1,2,0,0,0,0,2,0,0,0,2,0,0,0,1,2,2,2,0,2,0,0,2,0,0,0,0,0,0,0.7,Republican,Never,81.0,8.0
76,1,2,1,1,2,2,1,1,2,2,1,2,2,0,0,2,1,2,1,2,1,2,2,2,2,2,0,2,2,2,-0.96,Democrat,Hardly Ever,64.0,5.0
77,2,1,1,1,2,0,1,1,2,2,1,2,0,0,0,2,0,1,1,2,0,0,0,2,0,0,0,0,0,2,-0.98,Democrat,Never,152.0,6.0
78,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,0.7,Republican,Never,64.0,5.0
79,1,1,1,1,2,2,1,2,1,2,1,2,2,0,0,1,1,1,1,2,1,1,2,2,0,2,2,2,2,2,-1.0,Democrat,Never,129.0,5.0
80,1,2,1,2,0,0,2,2,2,0,1,2,0,0,0,2,2,1,2,0,2,2,0,0,0,0,0,0,0,0,-0.6,Democrat,Sometimes,287.0,5.0
81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,2,0,2,0,2,2,0,2,2,1.0,Republican,Sometimes,276.0,8.0
82,1,1,2,2,0,0,2,2,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0,2,0,0,0,0,2,0,0.76,Republican,Hardly Ever,229.0,5.0
83,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,-1.0,Democrat,Often,99.0,7.0
84,2,2,2,1,2,2,1,1,2,0,1,1,0,0,0,2,2,2,1,2,2,2,2,2,0,2,2,0,0,2,-0.96,Democrat,Never,111.0,8.0
85,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,1,2,2,2,2,2,0,0,2,0,0,0,0,2,0,0.5,Republican,Sometimes,152.0,8.0
86,1,1,2,2,1,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0.9,Independent,Never,73.0,7.0
87,1,1,1,2,2,2,1,1,2,2,2,2,0,0,0,1,1,1,2,1,2,2,2,2,0,0,2,0,2,2,-0.8,Independent,Sometimes,90.0,7.0
88,2,2,1,1,1,1,2,2,2,2,2,2,0,0,2,1,2,2,1,2,2,2,2,2,2,0,0,2,2,2,0.9,Republican,Hardly Ever,120.0,8.0
89,1,1,1,1,2,2,1,1,2,2,1,2,1,0,0,2,1,1,1,1,1,1,1,1,1,2,1,0,1,1,-1.0,Democrat,Often,87.0,5.0
90,2,0,0,0,2,2,2,0,2,0,1,2,0,2,0,2,2,2,1,2,2,2,2,2,0,0,0,0,2,2,-1.0,Democrat,Never,89.0,6.0
91,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,0,2,2,0,2,2,2,0,0.02,Independent,Sometimes,176.0,5.0
92,2,2,2,2,0,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,-0.02,Independent,Hardly Ever,407.0,5.0
93,2,2,2,1,2,2,1,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,-1.0,Democrat,Hardly Ever,95.0,4.0
